Date,Description,Amount,Balance
2024-01-15,STARBUCKS STORE #1234,-4.85,2456.78
2024-01-15,UBER RIDES,-12.45,2444.33
2024-01-16,AMAZON.COM PURCHASE,-89.99,2354.34
2024-01-16,SALARY DEPOSIT,3500.00,5854.34
2024-01-17,WALMART SUPERCENTER,-67.23,5787.11
2024-01-17,ATM WITHDRAWAL,-100.00,5687.11
2024-01-18,NETFLIX SUBSCRIPTION,-15.99,5671.12
2024-01-18,TARGET STORE #0123,-45.67,5625.45
2024-01-19,SHELL GAS STATION,-52.30,5573.15
2024-01-19,VERIZON WIRELESS,-85.00,5488.15
2024-01-20,CHIPOTLE MEXICAN GRILL,-11.75,5476.40
2024-01-20,GROCERY OUTLET,-78.90,5397.50
2024-01-22,MCDONALDS #12345,-8.95,5388.55
2024-01-22,PARKING METER,-2.50,5386.05
2024-01-23,COSTCO WHOLESALE,-156.78,5229.27
2024-01-23,SPOTIFY PREMIUM,-9.99,5219.28
2024-01-24,UBER EATS ORDER,-23.45,5195.83
2024-01-24,CVS PHARMACY,-34.56,5161.27
2024-01-25,HOME DEPOT PURCHASE,-145.99,5015.28
2024-01-25,ELECTRIC COMPANY BILL,-125.00,4890.28
2024-01-26,WHOLE FOODS MARKET,-87.64,4802.64
2024-01-26,LYFT RIDE,-15.30,4787.34
2024-01-29,FREELANCE PAYMENT DEPOSIT,750.00,5537.34
2024-01-29,INTERNET SERVICE PROVIDER,-69.99,5467.35
2024-01-30,RESTAURANT DINNER,-68.50,5398.85
2024-01-30,GAS STATION FILL UP,-48.75,5350.10
